Syn_Fam,Acc_Fam,Clade
Abietaceae,Pinaceae,Pinales
Abolbodaceae,Xyridaceae,Poales
Abrophyllaceae,Rousseaceae,Asterales
Acaciaceae,Fabaceae,Fabales
Acalyphaceae,Euphorbiaceae,Malpighiales
Acanthaceae,Acanthaceae,Lamiales
Acanthochlamydaceae,Velloziaceae,Pandanales
Acarnaceae,Asteraceae,Asterales
Aceraceae,Sapindaceae,Sapindales
Achariaceae,Achariaceae,Malpighiales
Achatocarpaceae,Achatocarpaceae,Caryophyllales
Achradaceae,Sapotaceae,Ericales
Achyranthaceae,Amaranthaceae,Caryophyllales
Acmopylaceae,Podocarpaceae,Cupressales
Aconitaceae,Ranunculaceae,Ranunculales
Acoraceae,Acoraceae,Acorales
Acristaceae,Arecaceae,Arecales
Acrostichaceae,Pteridaceae,Polypodiales
Actaeaceae,Ranunculaceae,Ranunculales
Actinidiaceae,Actinidiaceae,Ericales
Actiniopteridaceae,Pteridaceae,Polypodiales
Actinotaceae,Apiaceae,Apiales
Adenogrammaceae,Molluginaceae,Caryophyllales
Adiantaceae,Pteridaceae,Polypodiales
Adoxaceae,Viburnaceae,Dipsacales
Aegialitidaceae,Plumbaginaceae,Caryophyllales
Aegicerataceae,Primulaceae,Ericales
Aegilopaceae,Poaceae,Poales
Aeginetiaceae,Orobanchaceae,Lamiales
Aegiphilaceae,Lamiaceae,Lamiales
Aesculaceae,Sapindaceae,Sapindales
Aextoxicaceae,Aextoxicaceae,Berberidopsidales
Agapanthaceae,Amaryllidaceae,Asparagales
Agavaceae,Asparagaceae,Asparagales
Agdestidaceae,Phytolaccaceae,Caryophyllales
Agialidaceae,Zygophyllaceae,Zygophyllales
Agrimoniaceae,Rosaceae,Rosales
Agrostidaceae,Poaceae,Poales
Ailanthaceae,Simaroubaceae,Sapindales
Aitoniaceae,Meliaceae,Sapindales
Aizoaceae,Aizoaceae,Caryophyllales
Ajugaceae,Lamiaceae,Lamiales
Akaniaceae,Akaniaceae,Brassicales
Alangiaceae,Cornaceae,Cornales
Alchemillaceae,Rosaceae,Rosales
Aldrovandaceae,Droseraceae,Caryophyllales
Alismataceae,Alismataceae,Alismatales
Alliaceae,Amaryllidaceae,Asparagales
Allioniaceae,Nyctaginaceae,Caryophyllales
Allophylaceae,Sapindaceae,Sapindales
Alniphyllaceae,Styracaceae,Ericales
Aloaceae,Asphodelaceae,Asparagales
Alopecuraceae,Poaceae,Poales
Alpiniaceae,Zingiberaceae,Zingiberales
Alseuosmiaceae,Alseuosmiaceae,Asterales
Alsinaceae,Caryophyllaceae,Caryophyllales
Alsodeiaceae,Violaceae,Malpighiales
Alsophilaceae,Cyatheaceae,Cyatheales
Alstroemeriaceae,Alstroemeriaceae,Liliales
Altingiaceae,Altingiaceae,Saxifragales
Alzateaceae,Alzateaceae,Myrtales
Amaranthaceae,Amaranthaceae,Caryophyllales
Amaryllidaceae,Amaryllidaceae,Asparagales
Amborellaceae,Amborellaceae,Amborellales
Ambrosiaceae,Asteraceae,Asterales
Amentotaxaceae,Taxaceae,Cupressales
Ammanniaceae,Lythraceae,Myrtales
Ammiaceae,Apiaceae,Apiales
Amomaceae,Zingiberaceae,Zingiberales
Ampelopsidaceae,Vitaceae,Vitales
Amphorogynaceae,Santalaceae,Santalales
Amygdalaceae,Rosaceae,Rosales
Amyridaceae,Rutaceae,Sapindales
Anacampserotaceae,Anacampserotaceae,Caryophyllales
Anacardiaceae,Anacardiaceae,Sapindales
Anagallidaceae,Primulaceae,Ericales
Anarthriaceae,Restionaceae,Poales
Anchusaceae,Boraginaceae,Boraginales
Ancistrocladaceae,Ancistrocladaceae,Caryophyllales
Andromedaceae,Ericaceae,Ericales
Andropogonaceae,Poaceae,Poales
Androstachyaceae,Picrodendraceae,Malpighiales
Androsynaceae,Tecophilaeaceae,Asparagales
Anemarrhenaceae,Asparagaceae,Asparagales
Anemiaceae,Anemiaceae,Schizaeales
Anemonaceae,Ranunculaceae,Ranunculales
Angelicaceae,Apiaceae,Apiales
Angeloniaceae,Plantaginaceae,Lamiales
Angiopteridaceae,Marattiaceae,Marattiales
Anisophylleaceae,Anisophylleaceae,Cucurbitales
Annonaceae,Annonaceae,Magnoliales
Anomochloaceae,Poaceae,Poales
Anopteraceae,Escalloniaceae,Escalloniales
Anopteridaceae,Pteridaceae,Polypodiales
Anrederaceae,Basellaceae,Caryophyllales
Anthemidaceae,Asteroideae,Asterales
Anthericaceae,Asparagaceae,Asparagales
Anthobolaceae,Opiliaceae,Santalales
Anthoxanthaceae,Poaceae,Poales
Antidesmataceae,Phyllanthaceae,Malpighiales
Antirrhinaceae,Plantaginaceae,Lamiales
Antoniaceae,Loganiaceae,Gentianales
Antrophyaceae,Pteridaceae,Polypodiales
Aparinaceae,Rubiaceae,Gentianales
Aphanopetalaceae,Aphanopetalaceae,Saxifragales
Aphloiaceae,Aphloiaceae,Crossosomatales
Aphyllanthaceae,Asparagaceae,Asparagales
Apiaceae,Apiaceae,Apiales
Apocynaceae,Apocynaceae,Gentianales
Apodanthaceae,Apodanthaceae,Cucurbitales
Aponogetonaceae,Aponogetonaceae,Alismatales
Aporusaceae,Phyllanthaceae,Malpighiales
Aposeridaceae,Asteraceae,Asterales
Apostasiaceae,Orchidaceae,Asparagales
Aptandraceae,Aptandraceae,Santalales
Aquifoliaceae,Aquifoliaceae,Aquifoliales
Aquilariaceae,Thymelaeaceae,Malvales
