LEVEL3_COD,LEVEL_NAME,richness,PD_obs,PE_obs,WE,PDE,mrd,sub_trop_mbf,sub_trop_dbf,sub_trop_cf,temp_bmf,temp_cf,boreal_f_taiga,sub_trop_gss,temp_gss,flooded_gs,mont_gs,tundra,medit_fws,deserts_x_shrub,hfp_mean,deforestation2,mat_change,pre_change,sr_comp_top10,sr_comp_50,pd_comp_50,pd_comp_top10,pde_comp_50,topsr,toppd
AFG,Afghanistan,4450,51607.1611252498,2463.39634056774,1485.48318205313,437.040907736118,110.951949121606,0,0,0,0,0.020124402260702,0,0,0.00550769010816336,0,0.171414344468626,0,0,0.801782745606246,8.56409539433448,0,4.2644807906836,138.608805256782,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALA,Alabama,2858,43035.3155431885,943.509900979102,264.488937184339,8.93343458328028,102.82239815144,0,0,0,0.81605476111139,0.18256047652268,0,0,0,0,0,0,0,0,15.3002458367223,0.489030431705591,3.93172035034139,335.79676152685,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ASK,Alaska,1276,22791.6102538941,457.508623158413,125.71875038651,10.6441211319578,101.046741803279,0,0,0,0,0.0368694825221944,0.331176366363191,0,0,0,0,0.593528662671434,0,0,0.969517034413076,0.0675732217573222,7.63151186786305,775.024912799112,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALB,Albania,3314,43873.7688119718,1174.50025776026,406.981913458425,18.2261235768719,109.791634723087,0,0,0,0.0872958135576142,0,0,0,0,0,0,0,0.90427332684642,0,15.6661253922647,0.0248648648648649,4.79291050956021,249.214334052262,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ABT,Alberta,1520,26059.5170743777,410.233519958948,91.3369596004959,0,103.635112188366,0,0,0,0,0.209777449981142,0.377544647261767,0,0.408892037830168,0,0,0,0,0,7.79669291168689,0.187714111408325,6.4956117816957,30.6342550302505,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALD,Aldabra,198,9500.86903874752,164.758741177574,40.6813412585413,14.7125125743696,92.7707382198953,0.0239075606163017,0,0,0,0,0,0,0,0,0,0,0,0.715709527216764,,0,1.86203841790316,-15.9999706554102,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALU,Aleutian Is.,350,9974.19565031002,126.320651424673,26.0931680608144,3.01097978142565,95.8626107784431,0,0,0,0,0,0,0,0,0,0,0.872653920314709,0,0,1.24014197645854,0,3.32684171254724,1124.62157179984,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALG,Algeria,3442,44566.5396896708,1547.69094619177,641.380062016917,106.772726185089,107.890434476693,0,0,0,0,0.00406232556329313,0,0,0,0.00614131503215646,0,0,0.125959820938269,0.863767758487553,3.33524387560358,0.00235303663434622,4.98909092820845,-10.7357410350431,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ALT,Altay,2510,36378.1913669346,848.415944031184,306.430428703897,26.2824997672544,107.25375222312,0,0,0,0.0478757766942848,0.216834810827812,0,0,0.598616620238132,0,0.136399662081776,0,0,0.000270646695388271,8.23142489718456,0.0186482955220335,6.50008272758527,129.84869468464,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ASP,Amsterdam-St.Paul Is.,18,1365.76864297838,22.4607409992727,9.05638152696976,5.55559258418089,95.5062222222222,0,0,0,0,0,0,0,0.934335691658569,0,0,0,0,0,,,2.04104137420657,211.701117916384,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AMU,Amur,1369,27066.0306328724,503.35849335991,127.078536935025,4.49934100283544,101.53438145101,0,0,0,0.172598658716379,0.22643882581668,0.423676890377966,0,0,0.125189994083288,0,0.0520958198490607,0,0,2.50167998081809,0.156600330233771,7.69869297692642,183.93264653104,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AND,Andaman Is.,1711,38618.9382122789,1283.49485747494,319.186230144024,106.64985398798,93.6807983441751,0.858397008046577,0,0,0,0,0,0,0,0,0,0,0,0,7.48215015952021,0.0201005025125628,2.73384710930579,-186.835060350787,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ANG,Angola,5967,71958.0900864718,3654.92891274266,1848.99682044339,646.916508796141,105.332144888287,0,0.00250133155018246,0,0,0,0,0.868929668677868,0,0.00279629837624025,0.0800506004249065,0,0,0.0435070484033438,6.33650177670983,0.0627068542987797,4.41491483220482,212.71981323692,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ANT,Antarctica,3,489.771843145833,2.13145710500639,0.412337662337662,0,85.1423333333334,0,0,0,0,0,0,0,0,0,0,0.264940149341706,0,0,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ATP,Antipodean Is.,149,5281.27123807077,161.396249030172,62.145376878024,29.6998887837124,96.034422818792,0,0,0,0,0,0,0,0,0,0,0.828149372886146,0,0,,0,2.49048511813442,-15.4431780821917,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AGE,Argentina Northeast,5045,61377.3124498204,2796.34811751715,1214.96899515442,86.4986603417475,106.229431431431,0.0243348501388951,0,0,0,0,0,0.288829485875493,0.629431490766013,0.0566874460791651,0,0,0,0,10.2651756947648,0.064372176047303,3.31041916775083,160.308806714239,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AGW,Argentina Northwest,5128,56662.0840211161,3557.91545382093,1916.8932510727,398.052630682818,106.815283271083,0.0544064920647913,0,0,0.000362804210547331,0,0,0.375237558205098,0.192466171947882,0,0.377526839362516,0,0,0,4.86373311109015,0.10182119205298,3.39390288568719,135.695825773408,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AGS,Argentina South,2006,30489.9083801007,1996.83096535103,761.802525910423,157.70019558305,102.45085678392,0,0,0,0.0930252156145004,0,0,0,0.903332698729539,0,0.000219400901477597,0,0,0,5.51194174750531,0.00220035205632901,2.84510574684549,199.955923411902,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ARI,Arizona,3464,44100.678710102,1772.35359436734,666.005223270923,124.372738000257,111.286210335449,0,0,0.0234866666111744,0,0.210192946722829,0,0,0,0,0,0,0,0.766331632060584,9.31484904681012,0.0232063018948265,5.22724146773993,24.4999283380918,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ARK,Arkansas,2037,36092.0509816916,606.625575250579,140.110060791788,4.78603374509964,104.031507761642,0,0,0,0.743313511284854,0.256491661626493,0,0,0.000196558842203861,0,0,0,0,0,13.9463597285605,0.228195662205815,4.17428327983315,323.69359496672,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ARU,Aruba,284,10531.6611740576,129.3676731136,21.441825794807,2.48419667761409,104.926722807018,0,0,0,0,0,0,0,0,0,0,0,0,0.11331451893931,29.746975280077,0,0.599166361490912,-463.871191080729,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ASC,Ascension,19,1369.26399877372,10.9598893221777,4.72387428390053,1.79458271431577,82.231,0,0,0,0,0,0,0.938174275339904,0,0,0,0,0,0,,0,1.34942021403283,-69.7545454545455,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
ASS,Assam,5720,85002.2029388022,4086.44967166307,1241.88127452615,298.467502861298,96.3965482340538,0.939312113971101,0,0.0554190464875677,0.00434501405767691,0,0,0.000925083780821831,0,0,0,0,0,0,13.4580517194475,0.234214390602056,4.30991049342687,892.807848389311,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AUT,Austria,3167,40269.3012397451,1042.55717226453,403.925356607243,62.755620710416,109.942839486356,0,0,0,0.422590040401016,0.577410462198428,0,0,0,0,0,0,0,0,19.0181543685685,0.07,4.09546024639024,41.6293903202175,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
AZO,Azores,473,13016.8482985648,257.163083937056,77.3539566987886,89.0216926053295,107.3573125,0,0,0,0.962352648211797,0,0,0,0,0,0,0,0,0,19.8104324054823,0,3.11392828961171,355.469211118491,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BAH,Bahamas,1025,26282.7565450867,593.591770181084,165.254460059573,35.0756476052868,104.332153921569,0,0,0.440360616124065,0,0,0,0,0,0,0,0,0,0,7.15352638099127,0.0234192037470726,2.95521455331466,-329.012299992739,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BAL,Baleares,1401,25567.1044375492,546.596458663407,200.996490294861,63.1110144544095,105.869719708029,0,0,0,0,0,0,0,0,0,0,0,0.943139352242924,0,23.7391365221393,0,5.00763194577386,-10.2755027643715,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BLT,Baltic States,1597,25288.141144297,299.825161085606,135.319455077189,2.01390354881078,110.857656875,0,0,0,0.99124762016702,0,0,0,0,0,0,0,0,0,14.9353838095915,0.204401467155719,5.41184860144587,113.427549683007,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BAN,Bangladesh,3962,67693.1786319732,2496.14735525469,544.390450232461,41.3312410909045,96.8993921072603,0.877647277123822,0,0,0,0,0,0.000907317048739017,0,0,0,0,0,0,17.4047841835284,0.045608489501016,3.69327861149113,409.836122491992,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BLR,Belarus,1407,25668.6193463335,293.407831164305,55.5984433195604,0.462142386520254,106.468482361411,0,0,0,0.999999778261019,0,0,0,0,0,0,0,0,0,15.1268756274348,0.125735849056604,5.41272751348875,59.7268894606045,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BGM,Belgium,1747,31098.4939753981,950.321882466362,161.177903412454,24.8967959481663,104.373597838453,0,0,0,0.999195979988296,0,0,0,0,0,0,0,0,0,31.6716705160983,0.0680728667305849,3.53147982433783,72.1306605470202,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BLZ,Belize,3350,57044.5558483268,1831.14331565415,399.16672524241,54.8890368140848,102.00588517179,0.746059822028906,0,0.127173217384049,0,0,0,0,0,0,0,0,0,0,8.54585601557653,0.25414364640884,3.27018910853722,-273.192778425839,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BEN,Benin,2274,41022.2962803361,860.741914997918,162.218660352762,6.04433579164004,102.428853333333,0.0128199282505025,0,0,0,0,0,0.986339304823402,0,0,0,0,0,0,12.4560732019985,0.153374233128834,3.708496107202,260.762022163853,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BER,Bermuda,179,8689.35134499785,86.1899053749877,14.6012041187033,16.0040728908507,92.7476235955056,0,0,0.847575988880622,0,0,0,0,0,0,0,0,0,0,30.7758340623644,0,3.05873244689397,30.1237368471989,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BIS,Bismarck Archipelago,1384,33457.6157180011,1642.96964051734,493.072456230141,175.11287025508,89.2320987472366,0.940024088290336,0,0,0,0,0,0,0,0,0,0,0,0,4.85168488077806,0.197075651621106,1.43500841088475,178.233660341768,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BOL,Bolivia,13568,123977.514927276,10360.9856175979,5059.8253978306,1642.27974009651,103.1463046441,0.314623473444382,0.217965672641442,0,0,0,0,0.234512641772468,0,0.0295947008486703,0.200557973111656,0,0,0,5.79349363228985,0.139447526583449,3.8785723890555,384.655782287842,FALSE,FALSE,TRUE,FALSE,FALSE,1,1
BOR,Borneo,10782,106890.176979684,17002.8534931475,7057.67655655319,8160.84325558671,87.0809799327982,0.957750418695296,0,0,0,0,0,0,0,0,0.00583655800703135,0,0,0,5.96418694595394,0.473606231215341,2.43724234789764,859.288060630953,TRUE,TRUE,TRUE,TRUE,TRUE,0,0
BOT,Botswana,2417,38358.9679257402,1091.94934221177,314.757548017854,7.17868852808601,104.351088421053,0,0,0,0,0,0,0.53645802967649,0,0.08076780519413,0,0,0,0.382775044528198,5.52482505654482,0.000326335255085391,4.59131085245556,23.374876810799,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
BZN,Brazil North,12782,111175.433901927,10340.5285270975,4306.10751727243,1569.06031375742,96.3916392593755,0.917657733395884,0.00240673821282549,0,0,0,0,0.0777432945486259,0,0,0,0,0,0,1.98178681812696,0.161702545151295,3.74971578635477,181.604655321151,FALSE,FALSE,TRUE,FALSE,FALSE,1,0
BZE,Brazil Northeast,10789,99262.203966441,9822.19694634224,4795.9035590886,2503.23141507171,101.531023223409,0.23824632095165,0.0601246496448902,0,0,0,0,0.225870806974196,0,0,0,0,0,0.465809988422372,8.00281078069609,0.173601235220024,3.5483801601473,108.99559322473,FALSE,FALSE,TRUE,FALSE,FALSE,0,0
BZS,Brazil South,7894,80581.8872014384,5582.59103824367,2922.49839351502,720.846592368576,105.286123379924,0.678793610723663,0,0,0,0,0,0.316868613332335,0,0.000197318242228408,0,0,0,0,12.6730079568338,0.149744217081851,3.24081878995955,266.367116033745,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
