taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
3933,Eucalyptus gunnii,Eucalyptus gunnii,Myrtaceae,Eucalyptus,gunnii,2,,,,species,,,,259,Myrtaceae,Illegitimate,Miq,74115-wcs,
3933,Eucalyptus gunnii,Eucalyptus gunnii,Myrtaceae,Eucalyptus,gunnii,2,,,,species,,,,259,Myrtaceae,Accepted,Hookf,73063-wcs,
49862,Eryngium billardierei,Eryngium billardierei,Apiaceae,Eryngium,billardierei,2,,,,species,,,,2602,Apiaceae,Accepted,FDelaroche,799136-az,
49862,Eryngium billardierei,Eryngium billardierei,Apiaceae,Eryngium,billardierei,2,,,,species,,,,2602,Apiaceae,Illegitimate,HeldrexBoiss,799322-az,
49877,Tillandsia secunda,Tillandsia secunda,Bromeliaceae,Tillandsia,secunda,2,,,,species,,,,2610,Bromeliaceae,Illegitimate,Sessé&Moc,258714-wcs,
49877,Tillandsia secunda,Tillandsia secunda,Bromeliaceae,Tillandsia,secunda,2,,,,species,,,,2610,Bromeliaceae,Accepted,Kunth,269725-wcs,
52456,Caucalis platycarpos,Caucalis platycarpos,Apiaceae,Caucalis,platycarpos,2,L,,,species,,,,2886,Apiaceae,Accepted,L,705953-az,matching authors
52456,Caucalis platycarpos,Caucalis platycarpos,Apiaceae,Caucalis,platycarpos,2,L,,,species,,,,2886,Apiaceae,Illegitimate,L,390190-az,matching authors
58849,Vantanea guianensis,Vantanea guianensis,Humiriaceae,Vantanea,guianensis,2,,,,species,,,,3708,Humiriaceae,Accepted,Aubl,457925-az,
58849,Vantanea guianensis,Vantanea guianensis,Humiriaceae,Vantanea,guianensis,2,,,,species,,,,3708,Humiriaceae,Illegitimate,Poir,1258751-az,
58950,Crocus nudiflorus,Crocus nudiflorus,Iridaceae,Crocus,nudiflorus,2,Sm,,,species,,,,3739,Iridaceae,Illegitimate,Boiss,327453-wcs,no matching authors
58950,Crocus nudiflorus,Crocus nudiflorus,Iridaceae,Crocus,nudiflorus,2,Sm,,,species,,,,3739,Iridaceae,Illegitimate,Schult,327154-wcs,no matching authors
58950,Crocus nudiflorus,Crocus nudiflorus,Iridaceae,Crocus,nudiflorus,2,Sm,,,species,,,,3739,Iridaceae,Accepted,Sm,327378-wcs,matching authors
58950,Crocus nudiflorus,Crocus nudiflorus,Iridaceae,Crocus,nudiflorus,2,Sm,,,species,,,,3739,Iridaceae,Illegitimate,Hohen,327734-wcs,no matching authors
58950,Crocus nudiflorus,Crocus nudiflorus,Iridaceae,Crocus,nudiflorus,2,Sm,,,species,,,,3739,Iridaceae,Illegitimate,Sm,327347-wcs,matching authors
72158,Shepherdia argentea,Shepherdia argentea,Elaeagnaceae,Shepherdia,argentea,2,,,,species,,,,4847,Elaeagnaceae,Accepted,(Pursh)Nutt,592744-az,
72158,Shepherdia argentea,Shepherdia argentea,Elaeagnaceae,Shepherdia,argentea,2,,,,species,,,,4847,Elaeagnaceae,Illegitimate,Schltdl,785017-az,
72976,Solidago petiolaris,Solidago petiolaris,Asteraceae,Solidago,petiolaris,2,,,,species,,,,4966,Asteraceae,Accepted,Aiton,1101686-az,
72976,Solidago petiolaris,Solidago petiolaris,Asteraceae,Solidago,petiolaris,2,,,,species,,,,4966,Asteraceae,Illegitimate,Less,1101887-az,
72976,Solidago petiolaris,Solidago petiolaris,Asteraceae,Solidago,petiolaris,2,,,,species,,,,4966,Asteraceae,Illegitimate,AGray,1267051-az,
74826,Peperomia hirta,Peperomia hirta,Piperaceae,Peperomia,hirta,2,,,,species,,,,5188,Piperaceae,Accepted,CDC,557103-az,
74826,Peperomia hirta,Peperomia hirta,Piperaceae,Peperomia,hirta,2,,,,species,,,,5188,Piperaceae,Illegitimate,Balff,901210-az,
76287,Thunbergia erecta,Thunbergia erecta,Acanthaceae,Thunbergia,erecta,2,,,,species,,,,5376,Acanthaceae,Invalid,Nees,436130-az,
76287,Thunbergia erecta,Thunbergia erecta,Acanthaceae,Thunbergia,erecta,2,,,,species,,,,5376,Acanthaceae,Accepted,(Benth)TAnderson,436286-az,
87670,Eucalyptus diversifolia,Eucalyptus diversifolia,Myrtaceae,Eucalyptus,diversifolia,2,,,,species,,,,6632,Myrtaceae,Accepted,Bonpl,72840-wcs,
87670,Eucalyptus diversifolia,Eucalyptus diversifolia,Myrtaceae,Eucalyptus,diversifolia,2,,,,species,,,,6632,Myrtaceae,Illegitimate,Woolls,73301-wcs,
88917,Hedyosmum bonplandianum,Hedyosmum bonplandianum,Chloranthaceae,Hedyosmum,bonplandianum,2,,,,species,,,,6672,Chloranthaceae,Accepted,Kunth,840865-az,
88917,Hedyosmum bonplandianum,Hedyosmum bonplandianum,Chloranthaceae,Hedyosmum,bonplandianum,2,,,,species,,,,6672,Chloranthaceae,Misapplied,Mart,840867-az,
95374,Draba alyssoides,Draba alyssoides,Brassicaceae,Draba,alyssoides,2,,,,species,,,,7283,Brassicaceae,Illegitimate,Benth,776680-az,
95374,Draba alyssoides,Draba alyssoides,Brassicaceae,Draba,alyssoides,2,,,,species,,,,7283,Brassicaceae,Accepted,Humb&BonplexDC,776219-az,
100160,Ornithopus compressus,Ornithopus compressus,Fabaceae,Ornithopus,compressus,2,,,,species,,,,7744,Fabaceae,Accepted,L,387914-az,
100160,Ornithopus compressus,Ornithopus compressus,Fabaceae,Ornithopus,compressus,2,,,,species,,,,7744,Fabaceae,Invalid,SieberexSteud,738024-az,
101994,Plantago rigida,Plantago rigida,Plantaginaceae,Plantago,rigida,2,,,,species,,,,7968,Plantaginaceae,Invalid,Roem&Schult,1260583-az,
101994,Plantago rigida,Plantago rigida,Plantaginaceae,Plantago,rigida,2,,,,species,,,,7968,Plantaginaceae,Accepted,Kunth,570637-az,
102692,Celtis laevigata,Celtis laevigata,Cannabaceae,Celtis,laevigata,2,Willd,,,species,,,,7985,Cannabaceae,Illegitimate,Willd,708496-az,matching authors
102692,Celtis laevigata,Celtis laevigata,Cannabaceae,Celtis,laevigata,2,Willd,,,species,,,,7985,Cannabaceae,Illegitimate,Spreng,708300-az,no matching authors
102692,Celtis laevigata,Celtis laevigata,Cannabaceae,Celtis,laevigata,2,Willd,,,species,,,,7985,Cannabaceae,Accepted,Willd,708323-az,matching authors
109094,Chaerophyllum aureum,Chaerophyllum aureum,Apiaceae,Chaerophyllum,aureum,2,L,,,species,,,,8531,Apiaceae,Illegitimate,L,714333-az,matching authors
109094,Chaerophyllum aureum,Chaerophyllum aureum,Apiaceae,Chaerophyllum,aureum,2,L,,,species,,,,8531,Apiaceae,Accepted,L,714179-az,matching authors
