LEVEL3_COD,LEVEL_NAME,richness,PD_obs,SES.PD,AvTD,TTD,mpd,ses.mpd,PE_obs,SES.PE,bi_class,bi_class_ses,SES.PE_spot,SES.PD_spot,SR_spot,deforest_spot
BOR,Borneo,10782,106890,-32,251,2706340,251,7,17003,17,3-3,1-3,1,0,0,1
BZL,Brazil Southeast,16960,121481,-54,246,4163988,246,-5,15274,-8,3-3,1-1,0,-1,1,0
CHC,China South-Central,18238,153301,-32,251,4578691,251,9,18779,5,3-3,1-2,0,0,1,0
CHS,China Southeast,10214,117100,-18,252,2578127,252,10,11637,16,3-3,2-3,1,0,0,0
CLM,Colombia,22833,157886,-50,247,5630339,247,-3,18912,-7,3-3,1-1,0,-1,1,0
CPP,Cape Provinces,15362,88425,-76,242,3715671,242,-14,21949,6,3-3,1-2,0,-1,1,0
ECU,Ecuador,16599,128453,-46,242,4014449,242,-14,14238,-6,3-3,1-1,0,-1,1,0
MDG,Madagascar,10720,89042,-48,243,2604114,243,-9,14825,-2,3-3,1-1,0,-1,0,0
NWG,New Guinea,12042,103369,-43,247,2975125,247,-1,13679,-7,3-3,1-1,0,0,0,0
PER,Peru,19235,143769,-46,247,4753217,247,-1,16679,-7,3-3,1-1,0,0,1,0
QLD,Queensland,7789,91182,-24,252,1962114,252,7,12768,27,3-3,2-3,1,0,0,0
VEN,Venezuela,14957,130885,-35,248,3704026,248,0,12805,3,3-3,1-2,0,0,1,0
WAU,Western Australia,10251,80773,-53,243,2489325,243,-9,20886,27,3-3,1-3,1,-1,0,0
MLY,Malaya,8095,93076,-25,251,2027825,251,5,8619,10,3-2,2-3,0,0,0,1
SUM,Sumatera,6663,85464,-20,250,1668376,250,4,7237,9,3-2,2-3,0,0,0,1
ANG,Angola,5967,71958,-28,241,1438952,241,-9,3655,-4,3-2,2-1,0,0,0,0
ASS,Assam,5720,85002,-11,249,1422097,249,2,4086,8,3-2,3-2,0,0,0,0
BOL,Bolivia,13568,123978,-33,246,3337036,246,-4,10361,-2,3-2,1-1,0,0,1,0
BZC,Brazil West-Central,9377,90325,-38,244,2284634,244,-7,6508,-5,3-2,1-1,0,0,0,0
BZE,Brazil Northeast,10789,99262,-39,245,2641618,245,-5,9822,1,3-2,1-2,0,0,0,0
BZN,Brazil North,12782,111175,-40,247,3161668,247,0,10341,4,3-2,1-2,0,0,0,0
BZS,Brazil South,7894,80582,-36,244,1925704,244,-6,5583,-6,3-2,1-1,0,0,0,0
CHT,Tibet,6484,76807,-28,250,1618104,250,3,4980,-1,3-2,2-2,0,0,0,0
CMN,Cameroon,6746,77782,-29,243,1638283,243,-7,4359,1,3-2,1-2,0,0,0,0
COS,Costa Rica,9408,100606,-28,247,2323235,247,-1,6989,0,3-2,2-2,0,0,0,0
EHM,East Himalaya,6851,89651,-18,249,1703145,249,2,4971,5,3-2,2-2,0,0,0,0
GUA,Guatemala,7511,89177,-24,248,1861257,248,0,4385,-1,3-2,2-1,0,0,0,0
GUY,Guyana,5772,74466,-23,247,1427247,247,0,4528,10,3-2,2-3,0,0,0,0
HON,Honduras,5990,80449,-19,249,1488946,249,2,3300,5,3-2,2-2,0,0,0,0
IND,India,7278,89906,-21,246,1787285,246,-3,7032,1,3-2,2-2,0,0,0,0
JAW,Jawa,4807,75060,-12,248,1190718,248,0,3849,4,3-2,3-2,0,0,0,0
KEN,Kenya,6074,72649,-28,242,1472529,242,-8,3302,-4,3-2,2-1,0,0,0,0
LAO,Laos,4697,75177,-11,252,1182540,252,6,4363,19,3-2,3-3,1,0,0,0
MXC,Mexico Central,6987,80284,-28,244,1708312,244,-5,4045,-4,3-2,2-1,0,0,0,0
MXE,Mexico Northeast,10639,94502,-42,243,2585143,243,-9,6658,-10,3-2,1-1,0,0,0,0
MXG,Mexico Gulf,7228,89339,-21,248,1793022,248,1,4091,1,3-2,2-2,0,0,0,0
MXS,Mexico Southwest,13133,111444,-42,246,3230393,246,-3,8548,-10,3-2,1-1,0,0,1,0
MXT,Mexico Southeast,8426,94794,-26,248,2093571,248,2,4906,0,3-2,2-2,0,0,0,0
MYA,Myanmar,8622,106775,-16,249,2150176,249,3,6475,6,3-2,2-2,0,0,0,0
NEP,Nepal,5518,78800,-16,249,1371647,249,1,3576,3,3-2,2-2,0,0,0,0
PAN,Panama,9040,98384,-27,249,2251068,249,3,7463,4,3-2,2-2,0,0,0,0
PHI,Philippines,8158,93957,-25,249,2034573,249,3,9238,0,3-2,2-2,0,0,0,0
TAN,Tanzania,9277,90604,-37,242,2243955,242,-10,5459,-7,3-2,1-1,0,0,0,0
THA,Thailand,10048,113039,-20,249,2497802,249,2,9770,14,3-2,2-3,1,0,0,0
TUR,Turkey,9586,74530,-55,238,2281793,238,-18,6016,-13,3-2,1-1,-1,-1,0,0
VIE,Vietnam,10539,118236,-19,252,2660149,252,10,10369,11,3-2,2-3,0,0,0,0
ZAI,Zaïre,9094,90968,-35,243,2210373,243,-8,5101,-7,3-2,1-1,0,0,0,0
NIC,Nicaragua,5247,75759,-16,247,1298322,247,0,2988,9,3-1,2-3,0,0,0,0
AGW,Argentina Northwest,5128,56662,-36,238,1222670,238,-12,3558,-6,2-2,1-1,0,0,0,0
CAL,California,5498,53933,-43,247,1355538,247,-1,4608,-2,2-2,1-1,0,0,0,0
CHN,China North-Central,5202,68001,-24,252,1310069,252,6,3928,5,2-2,2-2,0,0,0,0
CLC,Chile Central,2910,37444,-32,239,694650,239,-9,3401,2,2-2,1-2,0,0,0,0
CUB,Cuba,5522,69401,-26,245,1352299,245,-4,5363,-2,2-2,2-1,0,0,0,0
FRG,French Guiana,4577,64151,-22,248,1134283,248,0,3450,9,2-2,2-3,0,0,0,0
GAB,Gabon,4823,60971,-28,243,1169862,243,-7,3524,3,2-2,2-2,0,0,0,0
IRN,Iran,7972,69184,-48,236,1879806,236,-20,4886,-12,2-2,1-1,-1,-1,0,0
JAP,Japan,4152,60895,-20,254,1052669,254,7,4533,7,2-2,2-2,0,0,0,0
MXN,Mexico Northwest,6567,71046,-34,242,1587074,242,-9,4462,-4,2-2,1-1,0,0,0,0
NAT,KwaZulu-Natal,4857,59780,-30,243,1182409,243,-5,3335,-1,2-2,1-2,0,0,0,0
NSW,New South Wales,5636,65078,-32,249,1405581,249,3,8912,24,2-2,1-3,1,0,0,0
NTA,Northern Territory,3943,52744,-27,244,961802,244,-4,4456,8,2-2,2-3,0,0,0,0
NWC,New Caledonia,2992,42706,-26,255,763028,255,8,6330,12,2-2,2-3,1,0,0,0
SOA,South Australia,3098,38555,-33,243,752425,243,-5,3633,10,2-2,1-3,0,0,0,0
SUL,Sulawesi,3861,64030,-13,251,969803,251,4,3720,2,2-2,3-2,0,0,0,0
TAI,Taiwan,3596,64605,-9,253,909658,253,6,3287,5,2-2,3-2,0,0,0,0
VIC,Victoria,3163,40587,-31,245,774395,245,-3,4121,15,2-2,1-3,1,0,0,0
ALA,Alabama,2858,43035,-24,245,700128,245,-3,944,-5,2-1,2-1,0,0,0,1
GEO,Georgia,2831,43750,-23,246,696189,246,-2,986,-4,2-1,2-1,0,0,0,1
LBR,Liberia,2542,44672,-17,243,618039,243,-4,1505,5,2-1,2-2,0,0,0,1
