
code	|	taxid	|	primary taxid	|	taxname
2	|	1202419	|	307004	|	Friesodielsia sp. Wieringa et al. 3605
2	|	235847	|	1249034	|	Alphonsea sp. 1 TC-2012
2	|	1844648	|	2592283	|	Mespilodaphne cymbarum
2	|	702085	|	3435	|	Persea americana
2	|	1353996	|	2894414	|	Mezilaurus ita-uba
2	|	300219	|	2855397	|	Chimonanthus salicifolius
2	|	1158245	|	2742929	|	Aristolochia deltantha
2	|	430761	|	2707095	|	Wittmackia lingulata
2	|	1836435	|	2707096	|	Wittmackia patentissima
2	|	430764	|	2707105	|	Wittmackia turbinocalyx
2	|	1836432	|	2708135	|	Wittmackia lingulatoides
2	|	1836427	|	2707100	|	Wittmackia froesii
2	|	1836428	|	2707101	|	Wittmackia incompta
2	|	1836438	|	2708137	|	Wittmackia sulbahianensis
2	|	1836423	|	2707098	|	Wittmackia amorimii
2	|	1836436	|	2707103	|	Wittmackia pernambucentris
2	|	1836439	|	2707104	|	Wittmackia tentaculifera
2	|	713993	|	2707097	|	Ronnbergia fraseri
2	|	1836429	|	2707102	|	Wittmackia ituberaensis
2	|	430774	|	2820688	|	Wittmackia neoregelioides
2	|	1836451	|	2707099	|	Wittmackia distans
2	|	1349372	|	2708136	|	Wittmackia polycephala
2	|	326780	|	49475	|	Ananas comosus var. microstachys
2	|	561560	|	296719	|	Ananas comosus var. bracteatus
2	|	1389403	|	2782336	|	Chaetospora curvifolia
2	|	1234189	|	1867339	|	Cyperus sesquiflorus
2	|	529441	|	906937	|	Rhynchospora colorata
2	|	1234215	|	1234203	|	Cyperus flavidus
2	|	1867314	|	1352567	|	Cyperus filicinus
2	|	1867337	|	1288167	|	Cyperus sellowianus
2	|	1253860	|	76484	|	Cyperus blepharoleptos
2	|	1867330	|	167995	|	Cyperus pedunculatus
2	|	1867341	|	1234527	|	Cyperus subsquarrosus
2	|	1867328	|	1287963	|	Cyperus neotropicalis
2	|	1867319	|	1352566	|	Cyperus hortensis
2	|	1867321	|	306635	|	Cyperus hyalinus
2	|	1867324	|	1353881	|	Cyperus lanceolatus
2	|	502424	|	2753195	|	Carex bequaertii subsp. mossii
2	|	234473	|	768169	|	Carex capensis
2	|	100301	|	502442	|	Carex ludwigii
2	|	254148	|	2820158	|	Bromopsis pumpelliana
2	|	1227979	|	145849	|	Festuca pseudoeskia
2	|	1073695	|	2875320	|	Pratochloa walteri
2	|	158141	|	2057701	|	Setaria geminata
2	|	136212	|	136216	|	Curcuma kwangsiensis
2	|	97769	|	2907228	|	Curcuma involucrata
2	|	93312	|	2448445	|	Calamus ursinus
2	|	1085970	|	2807135	|	Ponapea hentyi
2	|	1200800	|	2058555	|	Gennaria griffithii
2	|	310175	|	2913027	|	Paradisanthus bahiensis
2	|	125134	|	2912060	|	Koellensteinia florida
2	|	310166	|	2912061	|	Koellensteinia eburnea
2	|	310170	|	2912741	|	Otostylis brachystalix
2	|	1569457	|	350183	|	Maxillaria cerifera
2	|	350290	|	112614	|	Maxillaria marginata
2	|	350175	|	350317	|	Maxillaria lutescens
2	|	350346	|	350181	|	Maxillaria cassapensis
2	|	1164742	|	2747854	|	Pabstiella punctatifolia
2	|	125554	|	2502968	|	Tubella arbuscula
2	|	1164800	|	2502943	|	Pendusalpinx dependens
2	|	1413707	|	1714509	|	Acianthera hystrix
2	|	1164721	|	2502965	|	Lankesteriana barbulata
2	|	589419	|	2706375	|	Stelis sclerophylla
2	|	331180	|	2174812	|	Trichoglottis biglandulosa
2	|	1641962	|	232817	|	Paphiopedilum wilhelminae
4	|	53101
2	|	66720	|	2840145	|	Astelia hastata
2	|	1293620	|	1255763	|	Narcissus bulbocodium subsp. quintanilhae
2	|	146429	|	1697123	|	Zephyranthes tubispatha
2	|	1080016	|	2806787	|	Tulista kingiana
2	|	1035807	|	2754702	|	Hemerocallis lilioasphodelus var. thunbergii
4	|	145251
2	|	1532428	|	152096	|	Fritillaria usuriensis
2	|	1220504	|	59082	|	Lilium pardanthinum
2	|	488911	|	198687	|	Bomarea ovallei
2	|	1043413	|	1922339	|	Smilax gaudichaudiana
2	|	1353862	|	1922341	|	Smilax polyandra
2	|	1043414	|	2831076	|	Smilax longiflora
2	|	1043415	|	2831067	|	Smilax binchuanensis
2	|	374963	|	49668	|	Paris japonica
2	|	374956	|	2594874	|	Paris xichouensis
2	|	229472	|	229473	|	Helonias koreana
2	|	87628	|	2163620	|	Helonias orientalis
2	|	223418	|	223417	|	Helonias breviscapa
2	|	229534	|	2890917	|	Albidella oligococca
2	|	175766	|	1862621	|	Amorphophallus lanceolatus
2	|	161097	|	89585	|	Lemna aequinoctialis
2	|	13007	|	146543	|	Chloranthus serratus
2	|	1433314	|	2602276	|	Berberis usteriana
2	|	402151	|	1177933	|	Epimedium parvifolium
2	|	568561	|	2604303	|	Ranunculus polyanthemos subsp. polyanthemoides
2	|	320424	|	2604302	|	Ranunculus polyanthemos subsp. nemorosus
2	|	59995	|	2913518	|	Trautvetteria palmata
2	|	1887437	|	1111685	|	Pulsatilla tongkangensis
2	|	1634002	|	748703	|	Clematis mandshurica
2	|	984858	|	2829842	|	Delphinium leptocarpum
2	|	457540	|	296722	|	Geranium sessiliflorum var. arenarium
2	|	1663622	|	69161	|	Kosteletzkya pentacarpos
2	|	940338	|	2528913	|	Androcalva loxophylla
2	|	940339	|	2528914	|	Androcalva luteiflora
2	|	459120	|	2811238	|	Castela tweediei
2	|	23810	|	2768810	|	Ailanthus altissimus
2	|	151073	|	370348	|	Choritaenia capensis
2	|	159059	|	2901850	|	Murraya exotica
2	|	525658	|	2654268	|	Melicope spathulata
2	|	525657	|	2654266	|	Melicope rostrata
2	|	1336647	|	2654259	|	Melicope cornuta
